user_id,username,club_id
1,manager_fc_seoul,1
2,manager_ulsan_hd_fc,2
3,manager_jeonbuk_hyundai_motors,3
4,manager_gangwon_fc,4
5,manager_pohang_steelers,5
6,manager_incheon_united,6
7,manager_fc_anyang,7
8,manager_jeju_sk,8
9,manager_bucheon_fc_1995,9
10,manager_daejeon_hana_citizen,10
11,manager_gimcheon_sangmu,11
12,manager_gwangju_fc,12
13,manager_busan_ipark,13
14,manager_suwon_samsung_bluewings,14
15,manager_seoul_e_land_fc,15
16,manager_hwaseong_fc,16
17,manager_daegu_fc,17
18,manager_suwon_fc,18
19,manager_gimpo_fc,19
20,manager_chungnam_asan_fc,20
21,manager_gyeongnam_fc,21
22,manager_seongnam_fc,22
23,manager_cheonan_city_fc,23
24,manager_paju_citizen_fc,24
25,manager_yongin_city_fc,25
26,manager_ansan_greeners,26
27,manager_chungbuk_cheongju_fc,27
28,manager_jeonnam_dragons,28
29,manager_gimhae_fc,29
