manager_id,club_id,manager_name,nationality,preferred_formation,rating,rating_source
1,1,김기동,Unknown,4-3-3,82,OFFICIAL_MANAGER_LIST_SIM_RULE
2,2,김현석,Unknown,4-2-3-1,82,OFFICIAL_MANAGER_LIST_SIM_RULE
3,3,정정용,Unknown,4-3-2-1,82,OFFICIAL_MANAGER_LIST_SIM_RULE
4,4,정경호,Unknown,4-4-2,82,OFFICIAL_MANAGER_LIST_SIM_RULE
5,5,박태하,Unknown,3-5-2,82,OFFICIAL_MANAGER_LIST_SIM_RULE
6,6,윤정환,Unknown,4-3-3,82,OFFICIAL_MANAGER_LIST_SIM_RULE
7,7,유병훈,Unknown,4-2-3-1,82,OFFICIAL_MANAGER_LIST_SIM_RULE
8,8,세르지우 코스타,Unknown,4-3-2-1,82,OFFICIAL_MANAGER_LIST_SIM_RULE
9,9,이영민,Unknown,4-4-2,82,OFFICIAL_MANAGER_LIST_SIM_RULE
10,10,황선홍,Unknown,3-5-2,82,OFFICIAL_MANAGER_LIST_SIM_RULE
11,11,주승진,Unknown,4-3-3,82,OFFICIAL_MANAGER_LIST_SIM_RULE
12,12,이정규,Unknown,4-2-3-1,82,OFFICIAL_MANAGER_LIST_SIM_RULE
13,13,조성환,Unknown,4-3-2-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
14,14,이정효,Unknown,4-4-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
15,15,김도균,Unknown,3-5-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
16,16,차두리,Unknown,4-3-3,76,OFFICIAL_MANAGER_LIST_SIM_RULE
17,17,최성용,Unknown,4-2-3-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
18,18,박건하,Unknown,4-3-2-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
19,19,고정운,Unknown,4-4-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
20,20,안드레,Unknown,3-5-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
21,21,배성재,Unknown,4-3-3,76,OFFICIAL_MANAGER_LIST_SIM_RULE
22,22,전경준,Unknown,4-2-3-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
23,23,박진섭,Unknown,4-3-2-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
24,24,제라드,Unknown,4-4-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
25,25,최윤겸,Unknown,3-5-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
26,26,최문식,Unknown,4-3-3,76,OFFICIAL_MANAGER_LIST_SIM_RULE
27,27,루이 퀸타,Unknown,4-2-3-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
28,28,임관식,Unknown,4-3-2-1,76,OFFICIAL_MANAGER_LIST_SIM_RULE
29,29,손현준,Unknown,4-4-2,76,OFFICIAL_MANAGER_LIST_SIM_RULE
